NO,STREETADDRESS,POSTALCODE,STATEORPROVINCE,CITY,SALESCLOSEPRICE,LISTDATE,LISTPRICE,LISTTYPE,ORIGINALLISTPRICE,PRICEPERTSFT,FOUNDATIONSIZE,FENCE,SCHOOLDISTRICTNUMBER,DAYSONMARKET,OFFMKTDATE,FIREPLACES,ROOMTYPE,ROOF,POTENTIALSHORTSALE,POOLDESCRIPTION,PDOM,GARAGEDESCRIPTION,SQFTABOVEGROUND,TAXES,TAXWITHASSESSMENTS,TAXYEAR,LIVINGAREA,UNITNUMBER,YEARBUILT,ZONING,STYLE,ACRES,COOLINGDESCRIPTION,APPLIANCES,BACKONMARKETDATE,EXTERIOR,DININGROOMDESCRIPTION,BASEMENT,BATHSFULL,BATHSHALF,BATHQUARTER,BATHSTHREEQUARTER,CLASS,BATHSTOTAL,BATHDESC,BEDROOMS,SQFTBELOWGROUND,ASSUMABLEMORTGAGE,ASSOCIATIONFEE,ASSESSMENTPENDING,ASSESSEDVALUATION,latitude,longitude
1292,"385 Laurel Ave,210             ",55102,MN,STP - Saint Paul,129000,5/16/2017 0:00,127500,Exclusive Right,127500,191.9643,672,None,625 - St. Paul,13,5/31/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom                                                                                                        ","Flat,Age Over 8 Years,Rubber                                                ",No,null,13,"Uncovered/Open,Contract Pkg Required                                                                                                                        ",672,1552,1552,2017,672,210,1918,Residential-Single,(CC) Low Rise (3- Levels),0.02,None,"Range,Microwave,Exhaust Fan/Hood,Dishwasher,Refrigerator,Disposal                                                                                                                                     ",null,Brick/Stone,Living/Dining Room,None,1,0,0,0,SF,1,Main Floor Full Bath,1,0,Not Assumable,225,No,0,44.94559,-93.11626
1293,1307 Woodbridge St,55117,MN,STP - Saint Paul,133000,5/11/2017 0:00,127500,Exclusive Right,127500,120.471,672,null,625 - St. Paul,57,7/7/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Porch,Unfinished                                                                                     ",null,No,null,57,Detached Garage,1104,1878,1936,2017,1104,null,1920,Residential-Single,(SF) One 1/2 Stories,0,None,"Range,Refrigerator,Washer,Dryer                                                                                                                                                                         ",null,Stucco,"Separate/Formal Dining Room,Eat In Kitchen                                                                                      ",Full,1,0,0,0,SF,1,Upper Level Full Bath,2,0,null,0,No,0,44.98053,-93.10876
1294,"1392 Carling Dr,207            ",55108,MN,STP - Saint Paul,119750,4/14/2017 0:00,127500,Exclusive Right,127500,95.1908,629,None,625 - St. Paul,44,5/28/2017 0:00,0,"Living Room,Dining Room,,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,,",Age 8 Years or Less,No,null,44,"Heated Garage,Underground Garage                                                                                                                            ",1258,1590,1648,2017,1258,207,1983,Residential-Single,(CC) Low Rise (3- Levels),0.03,Central,"Range,Microwave,Dishwasher,Refrigerator,Washer,Dryer,Disposal                                                                                                                                        ",null,Wood,Kitchen/Dining Room,None,1,1,0,0,SF,2,"Main Floor 1/2 Bath,Upper Level Full Bath                                                                                                                                                                       ",2,0,null,539,Unknown,58,44.97234,-93.1585
1295,110 Atwater St,55117,MN,STP - Saint Paul,127900,8/18/2017 0:00,127900,Exclusive Right,129900,167.8478,762,Chain Link,625 - St. Paul,46,10/3/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Deck,Foyer                                                                                           ","Asphalt Shingles,Pitched,Age 8 Years or Less                                ",No,null,33,Detached Garage,762,815,815,2017,762,null,1889,Residential-Single,(SF) One Story,0.065,None,"Range,Exhaust Fan/Hood,Dishwasher,Refrigerator                                                                                                                                                          ",null,Fiber Board,Eat In Kitchen,Partial,1,0,0,0,SF,1,Main Floor Full Bath,2,0,Not Assumable,0,No,0,44.9666,-93.12244
1296,1101 Reaney Ave,55106,MN,STP - Saint Paul,133000,9/8/2017 0:00,128000,Exclusive Right,128000,97.8661,989,Chain Link,625 - St. Paul,12,9/20/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Porch                                                                                                 ",null,No,null,12,Detached Garage,1359,659,718,2017,1359,null,1889,Residential-Single,(SF) Two Stories,0.15,"Wall,Ductless Mini-Split   ",null,null,Wood,"Separate/Formal Dining Room,Eat In Kitchen                                                                                      ",Partial,1,1,0,0,SF,2,"Upper Level Full Bath,Private Master                                                                                                                                                                           ",3,0,null,0,Yes,58,44.96395,-93.00424
1297,1796 Case Ave E,55119,MN,STP - Saint Paul,138500,10/18/2017 0:00,128500,Exclusive Right,128500,155.4433,891,"Wood,Chain Link                        ",625 - St. Paul,8,10/26/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Porch                                                                                                 ",Asphalt Shingles,No,null,8,"Detached Garage,Garage Door Opener                                                                                                                          ",891,1154,1154,2017,891,null,1915,Residential-Single,(SF) One Story,0.092,Central,"Range,Microwave,Exhaust Fan/Hood,Refrigerator,Washer,Dryer                                                                                                                                            ",null,Vinyl,Eat In Kitchen,"Full,Concrete Block,Unfinished                                                                                                   ",1,0,0,0,SF,1,Main Floor Full Bath,2,0,Not Assumable,0,Unknown,0,44.97011,-93.02447
1298,1329 Reaney Ave,55106,MN,STP - Saint Paul,131000,6/22/2017 0:00,128900,Exclusive Right,128900,96.3944,574,None,625 - St. Paul,34,7/26/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Porch,Other                                                                                          ","Asphalt Shingles,Age 8 Years or Less                                         ",No,None,34,"Detached Garage,Garage Door Opener                                                                                                                          ",1054,1216,1216,2017,1359,null,1911,Residential-Single,(SF) One 1/2 Stories,0.11,None,"Range,Refrigerator,Washer                                                                                                                                                                                ",null,"Vinyl,Other                                         ",Kitchen/Dining Room,Unfinished,1,0,0,0,SF,1,Upper Level Full Bath,2,305,Not Assumable,0,No,0,44.96395,-93.00424
1299,"343 Belvidere St E,343A        ",55107,MN,STP - Saint Paul,123000,4/13/2017 0:00,128900,Exclusive Right,128900,128.125,960,null,625 - St. Paul,18,5/4/2017 0:00,0,"Living Room,Dining Room,,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,,,Garage,Deck                                                                                                                                            ",Asphalt Shingles,No,null,18,"Attached Garage,Tuckunder,Tandem,Driveway - Asphalt,Garage Door Opener                                                                                   ",960,910,910,2016,960,343A,1985,Residential-Single,(CC) Low Rise (3- Levels),0,Central,"Range,Exhaust Fan/Hood,Dishwasher,Refrigerator,Washer,Dryer                                                                                                                                           ",null,"Metal,Vinyl                                         ","Eat In Kitchen,Living/Dining Room                                                                                               ",None,1,0,0,0,SF,1,Main Floor Full Bath,2,0,null,226,Unknown,0,44.92247,-93.07092
1300,"391 Laurel Ave,1               ",55102,MN,STP - Saint Paul,132000,11/16/2017 0:00,129000,Exclusive Right,134000,192.1397,686,null,625 - St. Paul,12,11/28/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Foyer                                                                                                 ","Flat,Age Over 8 Years,Rubber                                                ",No,null,12,"Contract Pkg Required,No Int Access to Dwelling                                                                                                             ",1,978,978,2017,687,1,1918,Residential-Single,(CC) Low Rise (3- Levels),0.02,Window,"Range,Exhaust Fan/Hood,Dishwasher,Refrigerator,Disposal                                                                                                                                                ",null,Brick/Stone,Living/Dining Room,None,1,0,0,0,SF,1,Main Floor Full Bath,1,686,null,218,No,0,44.94559,-93.11654
1301,757 Bradley St,55130,MN,STP - Saint Paul,130000,9/8/2017 0:00,129000,Exclusive Right,135000,144.4444,686,null,625 - St. Paul,24,10/2/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Porch                                                                                                 ",Age 8 Years or Less,No,null,7,Detached Garage,900,1946,1946,2017,900,null,1889,Residential-Single,(SF) One 1/2 Stories,0.11,None,"Range,Refrigerator                                                                                                                                                                                        ",null,Stucco,Living/Dining Room,Unfinished,1,0,1,0,SF,2,Upper Level Full Bath,3,0,Not Assumable,0,Unknown,0,44.9638,-93.07876
1302,1131 Beech St,55106,MN,STP - Saint Paul,125000,7/14/2017 0:00,129000,Exclusive Right,129000,96.8992,840,Partial,625 - St. Paul,9,8/14/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Den,Other,Three Season Porch,Three Season Porch                                                    ","Asphalt Shingles,Age 8 Years or Less                                         ",No,null,9,Detached Garage,1290,252,252,2017,1290,null,1890,Residential-Single,(SF) One 1/2 Stories,0.11,None,"Range,Dishwasher,Refrigerator                                                                                                                                                                            ",null,"Wood,Shakes                                         ","Separate/Formal Dining Room,Eat In Kitchen                                                                                      ","Full,Unfinished                                                                                                                   ",1,0,0,0,SF,1,Main Floor Full Bath,3,0,Not Assumable,0,No,0,44.96225,-93.05263
1303,"1372 Carling Dr,207            ",55108,MN,STP - Saint Paul,125000,6/30/2017 0:00,129000,Exclusive Right,129000,99.4431,1257,null,625 - St. Paul,18,7/18/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom                                                                                                        ",null,No,None,18,Underground Garage,1257,1790,1790,2017,1257,207,1983,Residential-Single,(CC) Low Rise (3- Levels),0.03,Central,"Cooktop,Microwave,Exhaust Fan/Hood,Dishwasher,Refrigerator,Freezer,Washer,Dryer,Disposal                                                                                                           ",null,Wood,Separate/Formal Dining Room,None,1,1,0,0,SF,2,"Main Floor 1/2 Bath,Upper Level Full Bath                                                                                                                                                                       ",2,0,null,539,No,0,44.97187,-93.15752
1304,1945 Minnehaha Ave E,55119,MN,STP - Saint Paul,133000,8/4/2017 0:00,129500,Exclusive Right,129500,146.4758,624,null,625 - St. Paul,47,9/20/2017 0:00,0,"Living Room,Dining Room,,Kitchen,First (1st) Bedroom,,,,Den,Three Season Porch                                                                                                                                                     ",null,No,null,47,"Detached Garage,Driveway - Asphalt,Garage Door Opener                                                                                                      ",908,1938,2350,2017,908,null,1920,Residential-Single,(SF) One 1/2 Stories,0.153,Window,null,null,Shakes,null,Full,1,1,0,0,SF,2,null,1,0,null,0,Yes,412,44.96327,-93.01834
1305,"26 10th St W,804               ",55102,MN,STP - Saint Paul,129900,12/4/2017 0:00,129900,Exclusive Right,129900,153.184,848,null,625 - St. Paul,31,1/4/2018 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Deck                                                                                                  ",null,No,null,31,"Underground Garage,Secured,Contract Pkg Required,Other                                                                                                    ",848,742,942,2017,848,804,1980,Residential-Single,(CC) High Rise (4+ Levels),0.019,Central,"Range,Microwave,Dishwasher,Refrigerator                                                                                                                                                                 ",null,Brick/Stone,"Informal Dining Room,Kitchen/Dining Room,Living/Dining Room                                                                    ",None,1,0,0,0,SF,1,Main Floor Full Bath,1,0,Not Assumable,522,No,200,44.94961,-93.09869
1306,807 Jessamine Ave E,55106,MN,STP - Saint Paul,125000,10/12/2017 0:00,129900,Exclusive Right,129900,88.968,749,"Chain Link,Full                        ",625 - St. Paul,40,11/21/2017 0:00,0,"Living Room,Dining Room,,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,","Asphalt Shingles,Pitched,Age 8 Years or Less                                ",No,null,40,Detached Garage,1345,1248,1592,2017,1405,null,1910,Residential-Single,(SF) One 1/2 Stories,0.11,Ductless Mini-Split,"Range,Cooktop,Exhaust Fan/Hood,Refrigerator,Freezer,Washer,Dryer                                                                                                                                     ",null,Wood,null,"Full,Partial Finished,Concrete Block                                                                                             ",2,0,0,0,SF,2,"Upper Level 3/4 Bath,3/4 Basement                                                                                                                                                                               ",3,60,Not Assumable,0,No,344,44.97467,-93.0942
1307,1653 Woodbridge St,55117,MN,STP - Saint Paul,130900,9/28/2017 0:00,129900,Exclusive Right,129900,94.8551,900,null,625 - St. Paul,29,10/27/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom                                                                                                        ",null,No,null,29,On-Street Parking Only,900,966,1518,2017,1380,null,1965,Residential-Single,(SF) One Story,0.115,Window,null,null,Stucco,null,"Walkout,Full                                                                                                                      ",1,0,0,0,SF,1,null,3,480,null,0,Unknown,552,44.99096,-93.10868
1308,418 Livingston Ave,55107,MN,STP - Saint Paul,133500,9/8/2017 0:00,129900,Exclusive Right,129900,97.7306,500,"Wood,Privacy                           ",625 - St. Paul,46,11/7/2017 0:00,0,"Living Room,,,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,,Walk-In Closet,Recreation Room,Laundry,Patio                                                                                                 ",Asphalt Shingles,No,None,46,"Detached Garage,Driveway - Asphalt                                                                                                                          ",964,936,936,2017,1366,null,1982,Residential-Single,(TH) Side x Side,0.03,Central,"Range,Refrigerator,Washer,Dryer                                                                                                                                                                         ",null,"Metal,Vinyl                                         ","Eat In Kitchen,Kitchen/Dining Room                                                                                              ","Full,Finished (Livable),Partial Finished,Concrete Block                                                                         ",2,0,0,0,SF,2,"Upper Level Full Bath,Full Basement                                                                                                                                                                            ",3,402,null,173,Unknown,79,44.93346,-93.08242
1309,"847 Otto Ave,1                 ",55102,MN,STP - Saint Paul,127710,9/8/2017 0:00,129900,Exclusive Right,129900,134.2902,492,null,625 - St. Paul,17,9/25/2017 0:00,0,"Living Room,Dining Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Foyer,Laundry,Utility Room                                                                                                                                  ","Asphalt Shingles,Age 8 Years or Less                                         ",No,None,17,Detached Garage,951,900,958,2017,951,1,1981,Residential-Single,(TH) Side x Side,0.024,Wall,"Range,Cooktop,Refrigerator,Freezer,Washer,Dryer                                                                                                                                                       ",null,Wood,Informal Dining Room,None,1,0,0,0,SF,1,Upper Level Full Bath,2,0,null,175,Yes,58,44.92013,-93.13631
1310,1076 Matilda St,55117,MN,STP - Saint Paul,143500,8/22/2017 0:00,129900,Exclusive Right,129900,114.07,880,"Wood,Electric,Full                    ",625 - St. Paul,10,9/1/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Recreation Room,Sun Room                                                                             ",Asphalt Shingles,No,null,10,Detached Garage,880,942,1296,2017,1258,null,1926,Residential-Single,(SF) One Story,0.118,None,"Range,Refrigerator,Washer,Dryer                                                                                                                                                                         ",null,Vinyl,Living/Dining Room,Full,1,0,0,0,SF,1,Main Floor Full Bath,3,378,null,0,Unknown,354,44.97372,-93.11218
1311,513 Van Buren Ave,55103,MN,STP - Saint Paul,129900,8/17/2017 0:00,129900,Exclusive Right,144900,102.6066,798,"Wood,Chain Link,Partial               ",625 - St. Paul,88,11/13/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Porch                                                                                                 ","Asphalt Shingles,Pitched,Age Over 8 Years                                   ",No,null,31,Detached Garage,1266,1630,1658,2017,1266,null,1891,Residential-Single,(SF) One 1/2 Stories,0.144,None,"Range,Refrigerator                                                                                                                                                                                        ",null,Wood,"Separate/Formal Dining Room,Eat In Kitchen                                                                                      ",Full,1,0,0,0,SF,1,Main Floor Full Bath,3,0,Not Assumable,0,Unknown,28,44.96224,-93.12198
1312,1391 Minnehaha Ave E,55106,MN,STP - Saint Paul,105000,8/16/2017 0:00,129900,Exclusive Right,129900,97.2222,620,null,625 - St. Paul,37,9/22/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Den                                                                                                   ",Asphalt Shingles,No,null,37,Detached Garage,1080,962,1318,2017,1080,null,1912,Residential-Single,(SF) One 1/2 Stories,0.119,Central,null,null,Metal,Separate/Formal Dining Room,Full,1,0,0,0,SF,1,Main Floor Full Bath,3,0,null,0,Unknown,356,44.96319,-93.04206
1313,722 Minnehaha Ave W,55104,MN,STP - Saint Paul,135000,8/10/2017 0:00,129900,Exclusive Right,129900,122.7273,720,None,625 - St. Paul,14,8/24/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Den,Porch                                                                                            ","Pitched,Age 8 Years or Less,Metal                                           ",No,None,14,Driveway - Gravel,1100,417,417,2017,1100,null,1900,Residential-Single,(SF) One 1/2 Stories,0.085,None,"Range,Exhaust Fan/Hood,Refrigerator                                                                                                                                                                      ",null,Vinyl,Separate/Formal Dining Room,Full,1,1,0,0,SF,2,"Main Floor 1/2 Bath,Upper Level Full Bath                                                                                                                                                                       ",3,0,Not Assumable,0,No,0,,
1314,1685 Rose Ave E,55106,MN,STP - Saint Paul,141275,8/9/2017 0:00,129900,Exclusive Right,129900,97.5656,768,null,625 - St. Paul,15,8/24/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Other                                                                                                 ","Asphalt Shingles,Age Over 8 Years                                            ",No,null,15,"Attached Garage,Driveway - Concrete,Garage Door Opener                                                                                                     ",1048,1792,1842,2017,1448,null,1948,Residential-Single,(SF) One 1/2 Stories,0.141,Central,"Range,Refrigerator,Washer,Dryer                                                                                                                                                                         ",null,Shakes,Eat In Kitchen,"Full,Drainage System,Sump Pump,Day/Lookout Windows,Concrete Block                                                              ",1,0,1,0,SF,2,Main Floor Full Bath,3,400,null,0,Unknown,0,44.97683,-93.0293
1315,"66 9th St E,1610               ",55101,MN,STP - Saint Paul,128000,7/29/2017 0:00,129900,Exclusive Right,129900,177.7778,720,None,625 - St. Paul,20,8/18/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom                                                                                                        ",null,No,"Below Ground,Outdoor,Shared        ",20,"Attached Garage,Covered,Secured,Assigned,Garage Door Opener                                                                                              ",720,1028,1086,2017,720,1610,1983,Residential-Multi-Family,(CC) High Rise (4+ Levels),0.017,Central,"Range,Microwave,Exhaust Fan/Hood,Dishwasher,Refrigerator                                                                                                                                               ",null,Brick/Stone,Living/Dining Room,None,1,0,0,0,SF,1,Main Floor Full Bath,1,0,null,377,Yes,58,,
1316,594 Ohio St,55107,MN,STP - Saint Paul,116500,7/22/2017 0:00,129900,Exclusive Right,139900,102.3726,756,null,625 - St. Paul,19,8/10/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Porch                                                                                                 ",null,No,null,15,"Detached Garage,Driveway - Asphalt                                                                                                                          ",1138,1482,1536,2016,1138,null,1900,Residential-Single,(SF) One 1/2 Stories,0.15,Window,"Range,Refrigerator,Washer,Dryer                                                                                                                                                                         ",null,"Wood,Vinyl                                          ",null,"Partial,Stone                                                                                                                     ",1,0,0,1,SF,2,"Main Floor 3/4 Bath,Upper Level Full Bath                                                                                                                                                                       ",3,0,null,0,Unknown,54,44.92803,-93.0976
1317,615 Minnehaha Ave E,55130,MN,STP - Saint Paul,119000,7/18/2017 0:00,129900,Exclusive Right,139000,79.0698,860,null,625 - St. Paul,55,10/23/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Fifth (5th) Bedroom,Porch,Porch                                                                     ","Asphalt Shingles,Pitched                                                     ",No,None,31,On-Street Parking Only,1505,1656,1656,2017,1505,null,1889,Residential-Single,(SF) Two Stories,0.1,None,"Range,Refrigerator                                                                                                                                                                                        ",null,"Metal,Vinyl                                         ",null,Full,2,0,0,0,SF,2,"Main Floor Full Bath,Upper Level Full Bath                                                                                                                                                                      ",5,0,Not Assumable,0,Unknown,0,44.9632,-93.07455
1318,161 Winifred St W,55107,MN,STP - Saint Paul,125000,7/11/2017 0:00,129900,Exclusive Right,139900,119.3887,760,"Wood,Other                             ",625 - St. Paul,48,8/28/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Porch                                                                                                 ",Asphalt Shingles,No,None,13,"Detached Garage,Garage Door Opener                                                                                                                          ",1047,1171,243,2017,1047,null,1887,Residential-Single,(SF) One 1/2 Stories,0.14,Central,"Range,Refrigerator                                                                                                                                                                                        ",null,Wood,"Separate/Formal Dining Room,Breakfast Area                                                                                      ","Full,Finished (Livable),Day/Lookout Windows                                                                                      ",2,1,0,0,SF,3,"Main Floor Full Bath,Full Basement,Basement                                                                                                                                                                    ",3,0,null,0,Unknown,1265,44.93154,-93.09249
1319,1334 Taylor Ave W,55104,MN,STP - Saint Paul,102000,6/27/2017 0:00,129900,Exclusive Right,139900,89.9471,730,null,625 - St. Paul,76,9/12/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Porch                                                                                                 ","Asphalt Shingles,Pitched                                                     ",No,null,43,"Detached Garage,Driveway - Concrete                                                                                                                         ",1134,1456,1456,2017,1134,null,1900,Residential-Single,(SF) One 1/2 Stories,0.12,None,Range,null,"Wood,Metal,Vinyl                                   ","Separate/Formal Dining Room,Eat In Kitchen                                                                                      ",Full,1,1,0,0,SF,2,"Main Floor 1/2 Bath,Upper Level Full Bath                                                                                                                                                                       ",2,0,null,0,Unknown,0,44.96727,-93.1565
1320,1001 Geranium Ave E,55106,MN,STP - Saint Paul,140000,6/14/2017 0:00,129900,Exclusive Right,129900,134.6154,1040,None,625 - St. Paul,0,6/26/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom                                                                                                        ",Asphalt Shingles,No,None,0,"Detached Garage,Driveway - Concrete,Garage Door Opener                                                                                                     ",1040,1226,1284,2017,1040,null,1956,Residential-Single,(SF) One Story,0.11,Central,"Range,Exhaust Fan/Hood,Refrigerator,Washer,Dryer                                                                                                                                                       ",null,Stucco,Eat In Kitchen,Full,1,0,0,0,SF,1,Main Floor Full Bath,3,0,Not Assumable,0,No,58,44.97595,-93.05814
1321,101 Granite St,55117,MN,STP - Saint Paul,129900,6/12/2017 0:00,129900,Exclusive Right,129900,96.2222,840,"Wood,Partial                           ",625 - St. Paul,27,7/9/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Four Season Porch,Porch                                                                              ","Asphalt Shingles,Pitched,Age Over 8 Years                                   ",No,None,27,"Detached Garage,Garage Door Opener                                                                                                                          ",1048,952,1010,2017,1350,null,1879,Residential-Single,(SF) One 1/2 Stories,0.11,Central,"Range,Microwave,Dishwasher,Refrigerator,Washer,Dryer                                                                                                                                                  ",null,"Wood,Metal,Stucco                                  ","Informal Dining Room,Eat In Kitchen,Living/Dining Room                                                                         ","Full,Finished (Livable)                                                                                                           ",1,0,1,0,SF,2,"Main Floor Full Bath,Basement                                                                                                                                                                                   ",3,302,null,0,Yes,58,44.9662,-93.09618
1322,833 Algonquin Ave,55119,MN,STP - Saint Paul,129900,5/26/2017 0:00,129900,Exclusive Right,129900,133.642,736,Privacy,625 - St. Paul,12,6/7/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom                                                                                                        ","Asphalt Shingles,Pitched                                                     ",No,null,12,"Detached Garage,Driveway - Asphalt                                                                                                                          ",972,1394,1731,2017,972,null,1923,Residential-Single,(SF) One 1/2 Stories,0.14,None,"Range,Refrigerator                                                                                                                                                                                        ",null,Metal,Informal Dining Room,Full,1,0,0,1,SF,2,"Main Floor Full Bath,3/4 Basement                                                                                                                                                                               ",2,0,null,0,Unknown,337,44.96691,-93.01657
1323,"438 Etna St,201                ",55106,MN,STP - Saint Paul,130000,5/3/2017 0:00,129900,Exclusive Right,129900,104.9233,1239,null,625 - St. Paul,33,6/5/2017 0:00,0,"Living Room,Dining Room,,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,,Utility Room                                                                                                                         ","Asphalt Shingles,Pitched,Age Over 8 Years                                   ",No,None,33,"Tuckunder,Assigned,Garage Door Opener                                                                                                                      ",1239,816,854,2017,1239,201,1985,Residential-Multi-Family,(CC) Manor/Village,0.03,Central,"Range,Dishwasher,Refrigerator,Washer,Dryer,Disposal                                                                                                                                                   ",null,"Vinyl,Brick/Stone                                   ","Separate/Formal Dining Room,Eat In Kitchen,Living/Dining Room                                                                  ",None,1,0,0,1,SF,2,"Main Floor Full Bath,3/4 Master                                                                                                                                                                                 ",3,0,Not Assumable,216,Unknown,54,44.95477,-93.04132
1324,2037 Stillwater Ave E,55119,MN,STP - Saint Paul,129900,4/26/2017 0:00,129900,Exclusive Right,129900,123.0114,924,null,625 - St. Paul,2,4/28/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom                                                                                                        ","Asphalt Shingles,Age Over 8 Years                                            ",No,null,2,"Detached Garage,Driveway - Asphalt                                                                                                                          ",924,2460,2460,2016,1056,null,1925,Residential-Single,(SF) One 1/2 Stories,0.23,Central,"Range,Refrigerator                                                                                                                                                                                        ",null,Stucco,Separate/Formal Dining Room,"Full,Partial Finished,Egress Windows                                                                                             ",1,0,0,0,SF,1,"Main Floor Full Bath,Whirlpool                                                                                                                                                                                  ",3,132,Not Assumable,0,No,0,44.96933,-93.01441
1325,2008 Hoyt Ave E,55119,MN,STP - Saint Paul,129900,4/20/2017 0:00,129900,Exclusive Right,129900,87.2984,1080,null,625 - St. Paul,0,4/22/2017 0:00,1,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Recreation Room,Utility Room                                                                         ","Asphalt Shingles,Age Over 8 Years                                            ",No,null,0,Detached Garage,1080,2060,2060,2016,1488,null,1959,Residential-Single,(SF) One Story,0.17,Central,"Range,Microwave,Exhaust Fan/Hood,Dishwasher,Refrigerator,Washer,Dryer                                                                                                                                ",null,Stucco,Eat In Kitchen,"Full,Partial Finished,Drain Tiled,Sump Pump,Day/Lookout Windows,Concrete Block                                                ",1,1,0,0,SF,2,"Main Floor Full Bath,3/4 Basement                                                                                                                                                                               ",3,408,Not Assumable,0,Unknown,0,44.98816,-93.01555
